DIETS,Pollock,Cod,Herring,Arrowtooth,Squids,Salmon returning,Salmon outgoing,Myctophidae,Capelin,Sandlance,Eulachon,Crab,Shrimp,OtherZoop,Epifauna,Infauna,Jellies,Euphausiids,Copepods,Microzooplankton,Lg Phytoplankton,Sm Phytoplankton
Pollock,0.08479488,0.2709899,0,0.7419538,0,0,0,0,0,0,0,0,0,0,0,0,0.001113586,0,0,0,0,0
Cod,0.000612451,0.005401473,0,3.83E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herring,0.000561067,0.002004937,0,0.01386231,0,0,0,0,0,0,0,0,0,0,0,0,0.001113586,0,0,0,0,0
Arrowtooth,0.000525399,0.000735962,0,0.003540862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squids,0.00166245,0.000870483,0,0.009201117,0,0.25,0,0,0,0,0,0,0,0,0,0,0.001113586,0,0,0,0,0
Salmon returning,0,0.001546603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmon outgoing,0,0,0,0,0.02673797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myctophidae,0.002580945,1.43E-06,0,0.003602483,0.02673797,0,0,0,0,0,0,0,0,0,0,0,0.002227172,0,0,0,0,0
Capelin,0.00062594,0.003893901,0,0.01241913,0.02673797,0,0,0,0,0,0,0,0,0,0,0,0.001113586,0,0,0,0,0
Sandlance,0.001600026,0.02371974,0,0.000430848,0.02673797,0,0,0,0,0,0,0,0,0,0,0,0.001113586,0,0,0,0,0
Eulachon,6.02E-06,0.000135605,0,0.02186701,0.02673797,0,0,0,0,0,0,0,0,0,0,0,0.001113586,0,0,0,0,0
Crab,1.87E-05,0.06946274,0,3.80E-09,0,0,0,0,0,0,0,0,0,0,0.000195425,0,0,0,0,0,0,0
Shrimp,0.02262539,0.05191993,0,0.04318074,0,0,0,0,0,0,0,0,0,0,0.000195425,0,0,0,0,0,0,0
OtherZoop,0.1161751,0.3188402,2.43E-05,0.0431563,0.05347593,0.25,0,0,0,0,0,0.05339525,0.3,0.01810932,0.005040398,0.01639766,0,0,0,0,0,0
Epifauna,0.008400524,0.1431275,0,0.000598097,0,0,0,0,0,0,0,0.210976,0,0,0.003354352,0.01639766,0,0,0,0,0,0
Infauna,0.005614781,0.07766487,0.000255691,0.001381864,0,0,0,0,0,0,0,0.5767056,0.1,0.4461564,0.5015985,0.07887429,0,0,0,0,0,0
Jellies,3.00E-05,4.55E-06,0,2.41E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euphausiids,0.3487157,0.02807018,0.9267635,0.1047792,0.4491978,0.25,0.25,0.9,0.9,0.9,0.9,0.00062049,0.2,0.01241481,0,0,0.7126948,0,0,0,0,0
Copepods,0.4054487,0.001601285,0.07295654,2.01E-05,0.3636364,0.25,0.75,0.1,0.1,0.1,0.1,0,0,0.01707146,0,0,0.1670379,0.25,0.003997714,0,0,0
Microzooplankton,1.99E-06,8.81E-06,0,0,0,0,0,0,0,0,0,0,0,0.009627402,0,0,0.05567928,0.15,0.4944032,0,0,0
Lg Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02696237,0,0,0.05567928,0.5,0.2539977,0,0,0
Sm Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006418269,0,0,0,0.1,0.2476014,0.7,0,0
Pelagic Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
Benthic Detritus,0,0,0,0,0,0,0,0,0,0,0,0.1583026,0.4,0.4632399,0.4896159,0.8883304,0,0,0,0,0,0
