Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Discard,Detritus-POC,Fishery,FisheryDisc
Phytoplankton- Primary Producers,1,25.70472,166.1342,,,,0,0,,0.01,0.99,0,0
Bacteria,0,6.517908,91.24998,380.2082,,,0,0.2,,0.01,0.99,0,0
Microzooplankton,0,5.587981,72.00002,242.4243,,,0,0.1,,0.01,0.99,0,0
Small copepods,0,12.98514,41.66504,127.75,,,0,0.25,,0.01,0.99,0,0
Large Copepods,0,6.980794,54.63586,109.5,,,0,0.25,,0.01,0.99,0,0
Gelatinous Zooplankton,0,1.319463,40,143.08,,,0,0.35,,0.01,0.99,0,0.000000636
Micronekton,0,3.805126,14.25,36.5,,,0,0.25,,0.01,0.99,0,0
Mesopelagics,0,0.045,0.9503762,1.825,,,0,0.15,,0,0,0,3.7E-012
Macrobenthos- polychaetes,0,11.40272,2.5,17.5,,,0,0.5,,0.01,0.99,0,0
Macrobenthos- crustaceans,0,10.87353,3,21,,,0,0.5,,0.01,0.99,0,0
Macrobenthos- molluscs,0,9.8865,2,14,,,0,0.6,,0.01,0.99,0,0
Macrobenthos- other,0,40.02257,2,17.64,,,0,0.5,,0.01,0.99,0.6478018,0
Megabenthos- filterers,0,3.613779,5,18,,,0,0.7,,0.01,0.99,0.03305462,0.2
Megabenthos- other,0,3.965064,2,18,,,0,0.3,,0.01,0.99,0,0
Shrimp et al.,0,0.09,2,5,,,0,0.3,,0.01,0.99,0.00022901,0
Larval-juv fish- all,0,0.6293996,15,45,,,0,0.15,,0.01,0.99,0.2990043,4.8E-009
Small Pelagics- commercial,0,14.97737,0.3452712,2,,,0,0.15,,0.01,0.99,0,0.0299
Small Pelagics- other,0,1.0737,0.9571092,2,,,0,0.35,,0.01,0.99,0.003389353,0
Small Pelagics- squid,0,1.262162,0.9503762,2.75,,,0,0.15,,0.01,0.99,0.03275818,0.000339
Small Pelagics- anadromous,0,0.25,0.4249809,2,,,0,0.15,,0.01,0.99,0.01015249,0.00328
Medium Pelagics- (piscivores & other),0,0.2915301,0.459,2.3814,,,0,0.15,,0.01,0.99,0.1,0.00305
Demersals- benthivores,0,4.576176,0.45,0.92,,,0,0.3,,0.01,0.99,0.005314156,0.0792
Demersals- omnivores,0,3.438957,0.45,0.83,,,0,0.35,,0.01,0.99,0.5314448,0.00159
Demersals- piscivores,0,2.244675,0.486,2.205567,,,0,0.15,,0.01,0.99,0,0.159
Sharks- pelagics,0,0.04334066,0.102,0.5328019,,,0,0.15,,0.01,0.99,0.003406343,0.000238
HMS,0,0.00439539,0.682623,2.053014,,,0,0.15,,0.01,0.99,0,0.00102
Baleen Whales,0,0.4167178,0.03802086,4.5,,,0,0.2,,0.01,0.99,0,1.25E-008
Odontocetes,0,0.1127281,0.04,13.82976,,,0,0.2,,0.01,0.99,0,1.02E-008
Sea Birds,0,0.003496863,0.275,4.379231,,,0,0.15,,0.01,0.99,0,0.000144
Discard,2,0.4836398,,,,,,,0,0.01,0.001,,0
Detritus-POC,2,50,,,,,,,0,0.01,0,,0
Fishery,3,,,,,,,,,,,,
