DIETS,Phytoplankton- Primary Producers,Bacteria,Microzooplankton,Small copepods,Large Copepods,Gelatinous Zooplankton,Micronekton,Mesopelagics,Macrobenthos- polychaetes,Macrobenthos- crustaceans,Macrobenthos- molluscs,Macrobenthos- other,Megabenthos- filterers,Megabenthos- other,Shrimp et al.,Larval-juv fish- all,Small Pelagics- commercial,Small Pelagics- other,Small Pelagics- squid,Small Pelagics- anadromous,Medium Pelagics- (piscivores & other),Demersals- benthivores,Demersals- omnivores,Demersals- piscivores,Sharks- coastal,Sharks- pelagics,HMS,Baleen Whales,Odontocetes,Sea Birds
Phytoplankton- Primary Producers,,0.15,0.213,0.681,0.622,0.086,0.182,0.029,0.133,0.153,0.414,0.223,0.69,,0.057,0.059,0.011,0.16,,0.011,,,,,,,,,,
Bacteria,,,0.158,,,0.02,,0.008,0.317,0.156,0.202,0.223,0.08,0.192,0.336,,,,,,,,,,,,,,,
Microzooplankton,,,0.132,0.145,0.068,0.051,,0.088,,,,,,,,,,,,,,,,,,,,,,
Small copepods,,,,0.051,0.131,0.374,0.221,0.456,,0.016,,,,,,0.489,0.119,0.117,,0.079,,,,,,,,0.06,,
Large Copepods,,,,,0.139,0.405,0.365,0.376,,0.031,,,,,,0.25,0.413,0.633,0.251,0.875,,,,,,0.011,,0.454,,0.033
Gelatinous Zooplankton,,,,,0.012,0.022,0.002,,,,,,,,,,0.032,0.032,0.034,,0.011,0.002,0.023,,0.001,0.001,0.083,0.001,0.001,
Micronekton,,,,,,,0.046,0.015,,,,,,,0.113,0.011,0.217,0.043,0.342,0.018,,0.001,0.003,0.051,0.04,,,0.297,0.028,0.135
Mesopelagics,,,,,,0.001,,,,,,,,,,,0.005,0.001,0.011,0.00017,,,,0.006,,0.00076,0.000035,0.002,0.005,0.00011
Macrobenthos- polychaetes,,,,,,,,,0.019,0.082,,0.03,,0.081,,0.011,0.011,,,0.003,,0.177,0.135,0.013,,,,,,
Macrobenthos- crustaceans,,,,,0.00055,,,,0.003,0.029,,0.009,,0.016,0.022,0.014,0.055,0.002,0.085,0.006,0.013,0.091,0.066,0.013,0.013,0.011,,0.06,,
Macrobenthos- molluscs,,,,,,,,,0.002,0.064,0.011,0.045,,0.138,,0.01,0.011,0.002,,,,0.057,0.197,0.04,0.006,,,0.012,,
Macrobenthos- other,,,,,0.00066,,,,0.024,0.105,0.009,0.028,,0.246,0.079,0.021,0.011,0.003,0.017,,0.013,0.079,0.066,0.131,0.028,0.011,,0.024,,
Megabenthos- filterers,,,,,,,,,0.003,0.016,0.011,0.006,,0.053,,,,,,,,0.136,0.165,0.013,0.006,,,,,
Megabenthos- other,,,,,,,,,0.00058,0.002,0.00029,0.006,,0.025,,,,,,,0.17,0.159,0.165,0.027,0.028,,,0.007,,
Shrimp et al.,,,,,,,,,,,,,,,0.0006,,,,0.022,,0.008,0.003,0.019,0.06,,,,,,0.033
Larval-juv fish- all,,,,,,0.01,,,,,,,,,,0.075,0.107,0.007,0.171,0.008,0.013,,0.013,0.013,,,,,,
Small Pelagics- commercial,,,,,,0.015,,,,,,,,,,,0.00082,,0.016,,0.316,0.005,0.031,0.198,0.204,0.227,0.072,0.06,0.335,0.287
Small Pelagics- other,,,,,,0.004,,,,,,,,,,,0.00091,,0.017,,0.169,0.034,0.002,0.072,0.204,0.084,0.829,0.006,0.209,0.268
Small Pelagics- squid,,,,,,0.001,,,,,,,,,,,0.00066,,0.033,,0.121,0.08,0.001,0.113,0.134,0.162,0.015,0.006,0.28,0.046
Small Pelagics- anadromous,,,,,,0.000026,,,,,,,,,,,,,0.00026,,0.004,,,0.007,0.011,0.005,,0.000063,0.001,0.005
Medium Pelagics- (piscivores & other),,,,,,,,,,,,,,,,,,,,,0.032,,,,0.002,0.13,,,0.001,0.001
Demersals- benthivores,,,,,,,,,,0.001,,0.00044,,0.003,,,0.002,,,,0.053,0.096,0.038,0.157,0.068,0.054,,,,
Demersals- omnivores,,,,,,,,,,0.00096,,0.00047,,0.002,,,0.002,,,,0.058,0.025,0.027,0.048,0.068,0.087,,,0.069,0.041
Demersals- piscivores,,,,,,,,,,,,0.000028,,0.000041,,,0.001,,,,0.021,0.027,0.02,0.038,0.068,0.076,,,0.069,0.027
Sharks- coastal,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.023,,,,
Sharks- pelagics,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.022,,,,
HMS,,,,,,,,,,,,,,,,,,,,,,,,,0.006,0.008,,,,
Baleen Whales,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.011,,,,
Odontocetes,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.022,,,0.0009,
Sea Birds,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.002,,,,
Discard,,,,,,,,0.029,0.006,0.008,0.006,0.01,,0.053,0.057,,,,,,,0.014,0.026,,0.068,,,,,0.124
Detritus-POC,,0.85,0.498,0.123,0.027,0.01,0.184,,0.492,0.337,0.346,0.418,0.23,0.192,0.336,0.059,,,,,,0.014,0.001,,,0.054,,0.012,,
