DIETS,Phytoplankton- Primary Producers,Bacteria,Microzooplankton,Small copepods,Large Copepods,Gelatinous Zooplankton,Micronekton,Mesopelagics,Macrobenthos- polychaetes,Macrobenthos- crustaceans,Macrobenthos- molluscs,Macrobenthos- other,Megabenthos- filterers,Megabenthos- other,Shrimp et al.,Larval-juv fish- all,Small Pelagics- commercial,Small Pelagics- other,Small Pelagics- squid,Small Pelagics- anadromous,Medium Pelagics- (piscivores & other),Demersals- benthivores,Demersals- omnivores,Demersals- piscivores,Sharks- coastal,Sharks- pelagics,HMS,Pinnipeds,Baleen Whales,Odontocetes,Sea Birds
Phytoplankton- Primary Producers,,0.15,0.197,0.698,0.545,0.087,0.225,0.02,0.123,0.167,0.424,0.208,0.6,,0.057,0.059,0.012,0.157,,0.011,,,,,,,,,,,
Bacteria,,,0.214,,,0.02,,0.02,0.295,0.148,0.196,0.223,0.2,0.191,0.341,,,,,,,,,,,,,,,,
Microzooplankton,,,0.129,0.083,0.059,0.05,,0.061,,,,,,,,,,,,,,,,,,,,,,,
Small copepods,,,,0.092,0.189,0.371,0.25,0.509,,0.015,,,,,,0.434,0.128,0.115,,0.079,,,,,,,,,0.059,,
Large Copepods,,,,,0.122,0.412,0.241,0.376,,0.029,,,,,,0.251,0.437,0.451,0.104,0.875,,,,,,0.032,,,0.45,,0.032
Gelatinous Zooplankton,,,,,0.059,0.02,,,,,,,,,,,0.062,0.223,,,0.011,,0.013,0.015,0.001,0.001,0.094,,0.02,0.052,
Micronekton,,,,,,,0.057,0.01,,,,,,,0.115,0.069,0.228,0.042,0.504,0.019,,0.001,0.037,0.001,0.035,,,0.081,0.294,0.026,0.131
Mesopelagics,,,,,,0.00087,,,,,,,,,,,,,,,,,,,,0.011,0.001,,0.005,0.021,0.001
Macrobenthos- polychaetes,,,,,,,,,0.048,0.139,,0.07,,0.107,,0.046,0.005,,,0.003,,0.095,0.209,0.001,,,,,,,
Macrobenthos- crustaceans,,,,,0.001,,,,0.004,0.019,,0.01,,0.072,0.057,0.027,0.036,0.001,0.155,0.004,0.024,0.178,0.187,0.001,0.011,0.011,,,0.059,,
Macrobenthos- molluscs,,,,,,,,,0.002,0.043,0.017,0.034,,0.145,,0.013,0.005,0.00098,,,0.001,0.042,0.127,0.003,,,,,0.012,,
Macrobenthos- other,,,,,0.00064,,,,0.008,0.05,0.008,0.025,,0.157,0.03,0.01,0.005,0.001,0.017,,0.024,0.199,0.125,0.042,0.011,0.011,,,0.012,,
Megabenthos- filterers,,,,,,,,,0.003,0.015,0.012,0.006,,0.052,,,,,,,0.001,0.068,0.046,0.205,,,,,,,
Megabenthos- other,,,,,,,,,0.00048,0.002,0.002,0.008,,0.027,,,,,,,0.043,0.082,0.106,0.06,0.011,,,,0.007,,
Shrimp et al.,,,,,,,,,,,,,,,0.001,,,,0.016,,0.043,0.057,0.028,0.032,,,,,,,0.01
Larval-juv fish- all,,,,,,0.01,,,,,,,,,,0.032,0.053,0.007,0.09,0.008,0.013,,0.013,0.012,,,,,,,
Small Pelagics- commercial,,,,,,0.014,,,,,,,,,,,,,0.016,,0.27,0.054,0.037,0.26,0.175,0.215,0.186,0.487,0.054,0.316,0.281
Small Pelagics- other,,,,,,0.001,,,,,,,,,,,0.026,,0.017,,0.194,0.009,0.004,0.022,0.175,0.054,0.637,0.162,0.004,0.197,0.249
Small Pelagics- squid,,,,,,0.003,,,,,,,,,,,,,0.066,,0.086,0.033,0.008,0.169,0.124,0.162,0.082,,0.011,0.243,0.066
Small Pelagics- anadromous,,,,,,0.000096,,,,,,,,,,,,,0.001,,0.038,,,0.041,0.116,0.022,,0.055,0.00075,0.014,0.031
Medium Pelagics- (piscivores & other),,,,,,,,,,,,,,,,,,,,,0.046,,,0.024,0.001,0.087,,0.00013,,0.00013,0.00052
Demersals- benthivores,,,,,,,,,,0.00064,,0.00083,,0.001,,,0.00086,,,,0.097,0.05,0.014,0.051,0.059,0.054,,0.053,,,
Demersals- omnivores,,,,,,,,,,0.002,,0.001,,0.002,,,0.001,,,,0.043,0.04,0.005,0.023,0.059,0.086,,0.081,,0.065,0.04
Demersals- piscivores,,,,,,,,,,,,0.00068,,0.003,,,0.001,,0.014,,0.065,0.066,0.003,0.039,0.059,0.076,,0.081,,0.065,0.027
Sharks- coastal,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,
Sharks- pelagics,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.011,,,,,
HMS,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.011,,,,,
Pinnipeds,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.032,,,,,
Baleen Whales,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.011,,,,,
Odontocetes,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.022,,,,0.002,
Sea Birds,,,,,,,,0.003,,,,,,,,,,,,,,,,,0.024,0.022,,,,,
Discard,,,,,,,,,0.006,0.007,0.006,0.01,,0.052,0.057,,,,,,,0.013,0.025,,0.059,,,,,,0.131
Detritus-POC,,0.85,0.46,0.127,0.024,0.01,0.227,,0.51,0.362,0.336,0.404,0.2,0.191,0.341,0.059,,,,,,0.013,0.013,,,0.054,,,0.012,,
