Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,PelDetFate,BenthDetFate,F_Fishery,D_Fishery
Polar bears,0,0.00052669,0.0603,4.001384,,,0,0.2,,0.3,0.7,1.84E-05,3.00E-10
Toothed whales,0,0.01158743,0.112092,14.50402,,,0,0.2,,0.3,0.7,6.34E-05,1.00E-10
Gray whale,0,0.1879512,0.063365,8.87285,,,0,0.2,,0.3,0.7,0,0
Bowhead whale,0,0.3984775,0.01005,5.260121,,,0,0.2,,0.3,0.7,0.001198808,1.00E-10
Walrus/bearded seal,0,0.09814298,0.07127273,18.19188,,,0,0.2,,0.3,0.7,0.004842258,2.00E-10
Wintering seals,0,0.06165962,0.08586258,19.17929,,,0,0.2,,0.3,0.7,0.002269417,2.00E-10
Procellarids,0,0.001927375,0.06674218,187.9285,,,0,0.2,,0.3,0.7,0,0
Cormorants,0,1.47E-06,0.1625189,142.6185,,,0,0.2,,0.3,0.7,0,0
Other seabirds,0,7.77E-05,0.1625189,374.3133,,,0,0.2,,0.3,0.7,0,0
Larids,0,9.31E-05,0.1057225,205.6736,,,0,0.2,,0.3,0.7,0,0
Alcids piscivorous,0,0.001155027,0.104122,178.3831,,,0,0.2,,0.3,0.7,0,0
Alcids planktivorous,0,0.000139496,0.1404024,247.5067,,,0,0.2,,0.3,0.7,0,0
Lg.-mouth flatfish,0,0.1114285,0.4006235,1.780206,,,0,0.2,,0.3,0.7,0,0
Sm.-mouth flatfish,0,0.09015632,0.3078811,1.535264,,,0,0.2,,0.3,0.7,0,0
Lg.-mouth sculpins,0,0.599852,0.4,2,,,0,0.2,,0.3,0.7,0,0
Other sculpins,0,0.8552857,0.4592638,2.415146,,,0,0.2,,0.3,0.7,0,0
Eelpouts,0,0.3821929,0.4,2,,,0,0.2,,0.3,0.7,0,0
Pelagic forage fish,0,1.190608,0.5432349,2.919605,,,0,0.2,,0.3,0.7,0,0
Misc. shallow fish,0,7.477481,0.41934,2.105119,,,0,0.2,,0.3,0.7,0,0
Other demersals,0,0.2338559,0.4,2,,,0,0.2,,0.3,0.7,0,0
Skates,0,0.005364676,0.21,2.1,,,0,0.2,,0.3,0.7,0,0
Walleye pollock,0,0.0005417,0.8689514,3.008252,,,0,0.2,,0.3,0.7,0,0
Pacific cod,0,0.000037935,0.5477087,2.802848,,,0,0.2,,0.3,0.7,0,0
Arctic cod,0,1.044914,0.8689514,3.008252,,,0,0.2,,0.3,0.7,0.000000001,1.00E-10
Snow crab,0,3.169973,1,2.75,,,0,0.2,,0.1,0.9,0,0
Bivalves,0,90.28777,0.755625,3.778125,,,0,0.4,,0.1,0.9,0,0
Snails,0,1.384463,1.77,8.849999,,,0,0.2,,0.1,0.9,0,0
Other crabs,0,3.067152,0.82,4.1,,,0,0.2,,0.1,0.9,0,0
Shrimps,0,7.492234,0.576,2.409,,,0,0.2,,0.1,0.9,0,0
Sea stars,0,2.180155,0.34,1.7,,,0,0.2,,0.1,0.9,0,0
Brittle stars,0,5.644247,0.485,2.425,,,0,0.4,,0.1,0.9,0,0
Basket stars,0,0.5098612,0.34,1.7,,,0,0.2,,0.1,0.9,0,0
"Urchins, dollars, cucumbers",0,36.28965,0.695,3.475,,,0,0.4,,0.1,0.9,0,0
Sponge,0,0.5271555,1,5,,,0,0.4,,0.1,0.9,0,0
Anemones,0,0.3841269,1,5,,,0,0.2,,0.1,0.9,0,0
Benthic urochordate,0,1.160084,3.58,17.9,,,0,0.4,,0.1,0.9,0,0
Corals and sea pens,0,0.02567942,0.046,0.23,,,0,0.4,,0.1,0.9,0,0
Scyphozoid jellies,0,0.3719727,0.88,3,,,0,0.2,,0.3,0.7,0,0
Octopods,0,0.01057694,1.77,8.849999,,,0,0.2,,0.1,0.9,0,0
Salmon outgoing,0,0.000520686,1.28,13.56,,,0,0.2,,0.3,0.7,0,0
Salmon returning,0,0.005206862,1.65,11.6,,,0,0.2,,0.3,0.7,0,0
Benthic amphipods,0,20.52637,1,5,,,0,0.4,,0.1,0.9,0,0
Polychaetes,0,27.80796,2.915733,14.57867,,,0,0.4,,0.1,0.9,0,0
Worms etc.,0,17.03959,2.23,11.15,,,0,0.4,,0.1,0.9,0,0
Misc. crustaceans,0,5.580986,2.008,10.04,,,0,0.4,,0.1,0.9,0,0
Copepods,0,2.042696,6,27.74,,,0,0.2,,0.3,0.7,0,0
Other zooplankton,0,1.225213,5.475,15.64286,,,0,0.2,,0.3,0.7,0,0
Pelagic microbes,0,1.488708,26.25,75,,,0,0.2,,0.3,0.7,0,0
Benthic microbes,0,22.31168,26.25,75,,,0,0.2,,0.1,0.9,0,0
Primary production,1,27.8,75,,,,0,0,,0.3,0.7,0,0
Pelagic detritus,2,,0.5,,,,0,0,0,0,0,0,0
Benthic detritus,2,,0.5,,,,0,0,0,0,0,0,0
Fishery/Subsistence,3,,,,,,,,,0.3,0.7,,
