Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,PelDetFate,BenthDetFate,F_Fishery,D_Fishery
Toothed whales,0,0.06165833,0.04713691,12.43829,,,0,0.2,,0.5,0.5,1.29E-07,8.45E-07
Gray whale,0,0.05543134,0.063365,8.87285,,,0,0.2,,0.5,0.5,8.57E-08,0
Other baleen,0,0.4567338,0.03134125,6.980565,,,0,0.2,,0.5,0.5,0,5.19E-05
Other pinnipeds,0,0.03346486,0.1222834,36.81018,,,0,0.2,,0.5,0.5,0.000090749,4.04E-06
Procellarids,0,0.001051795,0.06487884,73,,,0,0.2,,0.5,0.5,0,1.43E-06
Alcids piscivorous,0,0.01131623,0.09528826,72.57302,,,0,0.2,,0.5,0.5,0,1.54E-05
Larids,0,0.001458566,0.1115763,95.5601,,,0,0.2,,0.5,0.5,0,1.98E-06
Alcids planktivorous,0,0.000299744,0.1694877,110,,,0,0.2,,0.5,0.5,0,4.07E-07
Other seabirds,0,0.000461801,0.09378317,109.5,,,0,0.2,,0.5,0.5,0,6.27E-07
Cormorants,0,0.000348881,0.1587271,73,,,0,0.2,,0.5,0.5,0,4.74E-07
Sharks,0,0.142353,0.1,3.729058,,,0,0.2,,0.5,0.5,0.000176845,0.00594262
Walleye pollock,0,6.224493,0.6538435,4.109179,,,-1.35,0.2,,0.5,0.5,0.0618452,0.281034
Pacific cod,0,1.520393,0.5576789,2.39571,,,0,0.2,,0.5,0.5,0.1218526,0.1289747
Pelagic forage fish,0,14.26999,0.8180392,3.676071,,,-0.11,0.2,,0.5,0.5,0.05087369,0.005135313
Lg.-mouth flatfish,0,8.015218,0.2929934,1.443946,,,0,0.2,,0.5,0.5,0.08691967,0.07947716
Sm.-mouth flatfish,0,2.44411,0.2152337,1.93294,,,0,0.2,,0.5,0.5,0.04497369,0.02795422
Skates,0,0.191803,0.2,2,,,0,0.2,,0.5,0.5,0.003005425,0.01178723
Other demersals,0,4.505964,0.1830862,2.246801,,,-0.002,0.2,,0.5,0.5,0.09719946,0.09624746
Eelpouts,0,1.069425,0.4,2,,,0,0.2,,0.5,0.5,7.66E-06,1.66E-05
Lg.-mouth sculpins,0,0.08888517,0.4,2,,,0,0.2,,0.5,0.5,0.000193433,0.004255149
Other sculpins,0,0.8168654,0.4,2,,,0,0.2,,0.5,0.5,0,0
Misc. shallow fish,0,0.8389893,0.4,2,,,0,0.2,,0.5,0.5,0.000319678,0.000919832
Octopods,0,0.7834731,0.8,3.65,,,0,0.2,,0.5,0.5,0.000165189,0.000167874
Squid,0,1.265454,3.2,10.67,,,0,0.2,,0.5,0.5,0.000119335,0.000225772
Salmon returning,0,0.8566338,1.815861,11.8269,,,0,0.2,,0.5,0.5,0.29042,0.02977088
Salmon outgoing,0,0.01713268,1.641523,14.38647,,,0,0.2,,0.5,0.5,0,0
Other crabs,0,5.218338,0.8414152,3.966247,,,0,0.2,,0.1,0.9,0.003609303,0.000240075
Shrimps,0,22.22855,0.576,2.41,,,0,0.2,,0.1,0.9,0.00019897,4.79E-06
Sea stars,0,0.09551849,1.21,6.05,,,0,0.2,,0.1,0.9,0.000009245,0.003106511
Brittle stars,0,4.544021,1.21,6.05,,,0,0.2,,0.1,0.9,0,0
"Urchins, dollars, cucumbers",0,1.630926,0.61,3.05,,,0,0.2,,0.1,0.9,3.51E-06,7.42E-05
Snails,0,0.8638767,1.81,9.049999,,,0,0.2,,0.1,0.9,3.27E-07,0
Misc. crustaceans,0,2.120289,7.4,37,,,0,0.2,,0.1,0.9,0,0
Benthic amphipods,0,5.868869,7.4,37,,,0,0.2,,0.1,0.9,0,0
Anemones,0,0.08886787,1,5,,,0,0.4,,0.1,0.9,4.09E-07,7.39E-05
Corals and sea pens,0,0.005739689,0.05045965,0.2522982,,,0,0.4,,0.1,0.9,2.98E-06,2.43E-05
Worms etc.,0,3.772863,2.195745,10.97872,,,0,0.4,,0.1,0.9,0,0
Benthic urochordate,0,0.2448,3.58,17.9,,,0,0.4,,0.1,0.9,0,0.000006744
Sponge,0,0.1075014,1,5,,,0,0.4,,0.1,0.9,2.65E-07,0.000020834
Bivalves,0,13.85198,1.3,6.5,,,0,0.4,,0.1,0.9,0.000280681,0
Polychaetes,0,3.923291,2.97,14.85,,,0,0.4,,0.1,0.9,0,0
Scyphozoid jellies,0,0.11,0.88,3,,,0,0.2,,0.7,0.3,0.000141226,0.000195899
Other zooplankton,0,23.99852,5.30758,15.16452,,,0,0.2,,0.7,0.3,0,0
Copepods,0,21.8635,6,27.74,,,0,0.2,,0.7,0.3,0,0
Pelagic microbes,0,12.25505,36.5,104.2857,,,0,0.2,,0.7,0.3,0,0
Benthic microbes,0,7.252296,36.5,104.2857,,,0,0.2,,0.1,0.9,0,0
Primary production,1,40.39581,110.2083,,,,0,0,,0.5001647,0.4998353,0,0
Pelagic detritus,2,,0.5,,,,0,0,0,0,0,0,0
Benthic detritus,2,,0.5,,,,0,0,0,0,0,0,0
Fishery/Subsistence,3,,,,,,,,,0.3908825,0.6091174,,
