,Fleet\group,Trawlers (/year),Midwater (/year),Dredgers (/year),
1,Seabirds,0.0006694779,0,0,
2,Whales,2.200843E-07,0,0,
3,Seals,0.04000644,0.04000644,0,
4,JuvRoundfish1,0.007666885,0.007666885,0.007666885,
5,AduRoundfish1,0.06115108,0.007194244,0.03597122,
6,JuvRoundfish2,0.0008113295,0.0008113295,0.0008113295,
7,AduRoundfish2,0.05925045,0.001800926,0.009004628,
8,JuvFlatfish1,0.01431713,0,0.01431713,
9,AduFlatfish1,0.02254596,0,0.008671523,
10,JuvFlatfish2,0.01037957,0,0.01037957,
11,AduFlatfish2,0.08114528,0,0.01352421,
12,OtherGroundfish,0.03783784,0.006756757,0.006756757,
13,Foragefish1,0.0001960784,0.06862745,0,
14,Foragefish2,0.000212766,0.01914894,0,
15,OtherForagefish,0.0001960784,0.005882353,0,
16,Megabenthos,0,0,0.009612788,
17,Shellfish,0,0,0.07285714,
18,Macrobenthos,0,0,5.747127E-06,
19,Zooplankton,0,0,0,
20,Phytoplankton,0,0,0,
