EwE version,"6.4.11414.0 (compiled 10/10/2014)"
Date,"7/24/2015 3:59:21 PM"
ModelName,REcosystem
EcosimScenario,"Double F on RF1"
TimeSeries,(none)
StartYear,0

Data, Biomass

Seabirds,Whales,Seals,JuvRoundfish1,AduRoundfish1,JuvRoundfish2,AduRoundfish2,JuvFlatfish1,AduFlatfish1,JuvFlatfish2,AduFlatfish2,OtherGroundfish,Foragefish1,Foragefish2,OtherForagefish,Megabenthos,Shellfish,Macrobenthos,Zooplankton,Phytoplankton,Detritus,Discards
0.01493703, 0.4543715, 0.024996, 0.1304292, 1.390067, 1.233585, 5.559932, 0.06984533, 5.766977, 0.09635026, 0.7400163, 7.400004, 5.099998, 4.699996, 5.09999, 19.76536, 6.999996, 17.39983, 22.99945, 9.999828, 3636.442, 1.218077
0.01493703, 0.4543715, 0.02499606, 0.1304285, 1.390104, 1.233582, 5.55992, 0.06984496, 5.766969, 0.09634545, 0.740015, 7.4, 5.09999, 4.699988, 5.09997, 19.7653, 6.999979, 17.39942, 22.99941, 9.99995, 3636.356, 1.218245
0.01493704, 0.4543714, 0.02499612, 0.1304282, 1.39014, 1.233604, 5.559903, 0.06984463, 5.766958, 0.09634124, 0.7400134, 7.399992, 5.099981, 4.69998, 5.099949, 19.76523, 6.999968, 17.39907, 22.99945, 10.00004, 3636.323, 1.218331
0.01493705, 0.4543714, 0.02499617, 0.1304279, 1.390173, 1.233673, 5.559883, 0.06984436, 5.766945, 0.09633762, 0.7400116, 7.399981, 5.099973, 4.699972, 5.099926, 19.76514, 6.999962, 17.39882, 22.99952, 10.00009, 3636.314, 1.218373
0.01493707, 0.4543714, 0.02499623, 0.1304279, 1.390206, 1.233808, 5.55986, 0.06984418, 5.766932, 0.09633458, 0.7400097, 7.399966, 5.099966, 4.699965, 5.099896, 19.76504, 6.999961, 17.39865, 22.99956, 10.00012, 3636.315, 1.218395
0.01493708, 0.4543713, 0.02499629, 0.1304279, 1.390236, 1.234021, 5.559834, 0.06984413, 5.766918, 0.09633215, 0.7400076, 7.399949, 5.099958, 4.699958, 5.099854, 19.76495, 6.999962, 17.39853, 22.99956, 10.00013, 3636.319, 1.218406
0.01493709, 0.4543713, 0.02499635, 0.1304279, 1.390265, 1.234318, 5.559802, 0.06984424, 5.766904, 0.09633035, 0.7400056, 7.399929, 5.099951, 4.699951, 5.099796, 19.76485, 6.999965, 17.39845, 22.99953, 10.00015, 3636.323, 1.218411
0.0149371, 0.4543713, 0.02499641, 0.1304279, 1.390293, 1.234701, 5.559764, 0.06984451, 5.766889, 0.0963292, 0.7400034, 7.399906, 5.099943, 4.699943, 5.099718, 19.76475, 6.999969, 17.39839, 22.99947, 10.00016, 3636.327, 1.218414
0.01493711, 0.4543712, 0.02499648, 0.130428, 1.390318, 1.235162, 5.559717, 0.06984498, 5.766874, 0.09632871, 0.7400012, 7.399879, 5.099934, 4.699935, 5.099617, 19.76466, 6.999973, 17.39835, 22.99938, 10.00018, 3636.33, 1.218415
0.01493712, 0.4543712, 0.02499655, 0.130428, 1.390342, 1.235695, 5.55966, 0.06984563, 5.766859, 0.09632889, 0.7399989, 7.399848, 5.099925, 4.699926, 5.099494, 19.76457, 6.999978, 17.39831, 22.99928, 10.00021, 3636.334, 1.218416
0.01493713, 0.4543712, 0.02499662, 0.1304281, 1.390365, 1.236289, 5.559593, 0.06984649, 5.766844, 0.09632974, 0.7399965, 7.399814, 5.099915, 4.699916, 5.099348, 19.76448, 6.999983, 17.39827, 22.99917, 10.00024, 3636.338, 1.218416
0.01493713, 0.4543712, 0.0249967, 0.1304282, 1.390385, 1.236931, 5.559512, 0.06984755, 5.766828, 0.09633127, 0.739994, 7.399775, 5.099904, 4.699906, 5.099179, 19.7644, 6.999989, 17.39824, 22.99906, 10.00027, 3636.343, 1.218415
0.01493714, 0.4543711, 0.02499678, 0.1304283, 1.390404, 1.237609, 5.559419, 0.06984881, 5.766812, 0.09633346, 0.7399914, 7.399731, 5.099892, 4.699895, 5.09899, 19.76432, 6.999995, 17.39821, 22.99895, 10.0003, 3636.348, 1.218414
0.01493715, 0.4543711, 0.02499686, 0.1304285, 1.390421, 1.238311, 5.559313, 0.06985027, 5.766796, 0.09633631, 0.7399888, 7.399682, 5.09988, 4.699883, 5.098783, 19.76424, 7.000002, 17.39818, 22.99884, 10.00034, 3636.354, 1.218413
0.01493715, 0.4543711, 0.02499695, 0.1304288, 1.390436, 1.239026, 5.559196, 0.06985193, 5.76678, 0.0963398, 0.7399861, 7.399628, 5.099867, 4.699872, 5.098559, 19.76416, 7.00001, 17.39816, 22.99873, 10.00037, 3636.361, 1.21841
0.01493716, 0.454371, 0.02499704, 0.1304291, 1.390449, 1.239742, 5.559065, 0.06985376, 5.766764, 0.0963439, 0.7399833, 7.399568, 5.099854, 4.69986, 5.098322, 19.76409, 7.000019, 17.39814, 22.99864, 10.00041, 3636.368, 1.218408
0.01493716, 0.454371, 0.02499714, 0.1304295, 1.39046, 1.240451, 5.558925, 0.06985576, 5.766747, 0.0963486, 0.7399805, 7.399503, 5.099841, 4.699847, 5.098073, 19.76403, 7.000028, 17.39812, 22.99855, 10.00044, 3636.375, 1.218404
0.01493716, 0.4543709, 0.02499724, 0.1304299, 1.390469, 1.241145, 5.558774, 0.06985792, 5.766731, 0.09635384, 0.7399775, 7.399433, 5.099827, 4.699835, 5.097816, 19.76396, 7.000037, 17.39811, 22.99847, 10.00047, 3636.382, 1.2184
0.01493716, 0.4543709, 0.02499734, 0.1304304, 1.390477, 1.241817, 5.558615, 0.06986021, 5.766715, 0.09635962, 0.7399745, 7.399357, 5.099814, 4.699822, 5.097553, 19.7639, 7.000047, 17.3981, 22.99839, 10.0005, 3636.389, 1.218395
0.01493716, 0.4543708, 0.02499745, 0.130431, 1.390482, 1.242462, 5.558449, 0.06986261, 5.766698, 0.09636586, 0.7399715, 7.399276, 5.099801, 4.699811, 5.097287, 19.76385, 7.000058, 17.3981, 22.99833, 10.00053, 3636.396, 1.218389
