EwE version,"6.4.11414.0 (compiled 10/10/2014)"
Date,"3/27/2015 11:10:12 AM"
ModelName,REcosystem
EcosimScenario,"Base Scenario"
TimeSeries,(none)
StartYear,0

Data, Biomass

Seabirds,Whales,Seals,JuvRoundfish1,AduRoundfish1,JuvRoundfish2,AduRoundfish2,JuvFlatfish1,AduFlatfish1,JuvFlatfish2,AduFlatfish2,OtherGroundfish,Foragefish1,Foragefish2,OtherForagefish,Megabenthos,Shellfish,Macrobenthos,Zooplankton,Phytoplankton,Detritus,Discards
0.01493703, 0.4543715, 0.024996, 0.1304294, 1.390031, 1.232544, 5.559961, 0.06984552, 5.766981, 0.09633709, 0.740014, 7.400004, 5.099999, 4.699997, 5.099993, 19.76537, 7, 17.39998, 22.99962, 9.999817, 1E-20, 1.000062E-20
0.01493703, 0.4543715, 0.02499603, 0.1304301, 1.390025, 1.232557, 5.559916, 0.06984547, 5.766973, 0.09633248, 0.740012, 7.400002, 5.100015, 4.700015, 5.100039, 19.76541, 7.000041, 17.40054, 22.99979, 9.999894, 1E-20, 1.000215E-20
0.01493704, 0.4543716, 0.02499607, 0.130431, 1.390025, 1.232619, 5.559903, 0.06984574, 5.766971, 0.09632847, 0.7400112, 7.400001, 5.100022, 4.700023, 5.100057, 19.76544, 7.000062, 17.4007, 22.99988, 9.999946, 1E-20, 1.000285E-20
0.01493706, 0.4543716, 0.02499611, 0.1304318, 1.390026, 1.232775, 5.559904, 0.06984615, 5.766973, 0.09632494, 0.7400108, 7.400002, 5.100025, 4.700027, 5.100052, 19.76546, 7.000069, 17.40065, 22.9999, 9.999977, 1E-20, 1.000319E-20
0.01493707, 0.4543716, 0.02499615, 0.1304325, 1.390029, 1.233062, 5.559906, 0.06984662, 5.766975, 0.09632188, 0.7400106, 7.400004, 5.100026, 4.700028, 5.10002, 19.76549, 7.00007, 17.40052, 22.99985, 10, 1E-20, 1.000338E-20
0.01493709, 0.4543716, 0.02499619, 0.130433, 1.390032, 1.233499, 5.559901, 0.06984712, 5.766978, 0.09631928, 0.7400103, 7.400006, 5.100025, 4.700028, 5.09995, 19.76551, 7.000067, 17.40035, 22.99974, 10.00003, 1E-20, 1.00035E-20
0.01493711, 0.4543716, 0.02499624, 0.1304332, 1.390035, 1.234087, 5.559881, 0.06984765, 5.76698, 0.09631717, 0.7400098, 7.400007, 5.100023, 4.700026, 5.099833, 19.76552, 7.000062, 17.40018, 22.99957, 10.00007, 1E-20, 1.000359E-20
0.01493713, 0.4543716, 0.02499629, 0.130433, 1.390037, 1.234814, 5.559838, 0.06984819, 5.76698, 0.09631558, 0.7400091, 7.400003, 5.100019, 4.700022, 5.099661, 19.76553, 7.000057, 17.40001, 22.99934, 10.00012, 1E-20, 1.000366E-20
0.01493714, 0.4543716, 0.02499636, 0.1304325, 1.390038, 1.235654, 5.559765, 0.06984878, 5.766978, 0.09631453, 0.7400081, 7.399994, 5.100013, 4.700015, 5.099427, 19.76553, 7.000052, 17.39984, 22.99908, 10.00019, 1E-20, 1.000371E-20
0.01493716, 0.4543716, 0.02499643, 0.1304316, 1.390037, 1.236578, 5.559654, 0.06984942, 5.766974, 0.09631407, 0.7400067, 7.399977, 5.100005, 4.700006, 5.09913, 19.76552, 7.000048, 17.39966, 22.99879, 10.00026, 1E-20, 1.000373E-20
0.01493718, 0.4543716, 0.02499651, 0.1304305, 1.390035, 1.237551, 5.559498, 0.06985012, 5.766969, 0.09631419, 0.7400052, 7.399951, 5.099993, 4.699994, 5.098772, 19.7655, 7.000046, 17.39948, 22.99849, 10.00035, 1E-20, 1.000374E-20
