EwE version,"6.4.11414.0 (compiled 10/10/2014)"
Date,"4/9/2015 10:26:35 AM"
ModelName,REcosystem
EcosimScenario,"Scenario 3 - Forage"
TimeSeries,(none)
StartYear,0

Data, Yield

Seabirds,Whales,Seals,JuvRoundfish1,AduRoundfish1,JuvRoundfish2,AduRoundfish2,JuvFlatfish1,AduFlatfish1,JuvFlatfish2,AduFlatfish2,OtherGroundfish,Foragefish1,Foragefish2,OtherForagefish,Megabenthos,Shellfish,Macrobenthos,Zooplankton,Phytoplankton,Detritus,Discards
1.000001E-05, 1E-07, 0.002000002, 0.002999956, 0.1450032, 0.002999992, 0.3895081, 0.001999969, 0.1800305, 0.001999873, 0.07005668, 0.3800002, 0.3508806, 0.09099992, 0.03099994, 0.1900002, 0.5099997, 9.999902E-05, 0, 0, 0, 0
1.000001E-05, 1E-07, 0.002000005, 0.002999963, 0.1450026, 0.003000014, 0.3895042, 0.00199996, 0.18003, 0.001999771, 0.07005641, 0.38, 0.3508819, 0.09100018, 0.03100015, 0.1900001, 0.510002, 0.0001, 0, 0, 0, 0
1.000002E-05, 1E-07, 0.002000008, 0.002999975, 0.1450025, 0.003000155, 0.3895025, 0.001999958, 0.1800297, 0.001999682, 0.07005623, 0.3799997, 0.3508826, 0.09100022, 0.03100018, 0.1899996, 0.5100026, 9.999867E-05, 0, 0, 0, 0
1.000003E-05, 1E-07, 0.002000011, 0.002999986, 0.1450027, 0.003000527, 0.3895019, 0.00199996, 0.1800295, 0.001999601, 0.07005609, 0.3799995, 0.350883, 0.09100015, 0.03100005, 0.189999, 0.5100023, 9.999631E-05, 0, 0, 0, 0
1.000004E-05, 1E-07, 0.002000014, 0.002999994, 0.145003, 0.003001217, 0.3895013, 0.001999964, 0.1800292, 0.00199953, 0.07005597, 0.3799994, 0.3508832, 0.09100004, 0.03099976, 0.1899982, 0.5100016, 9.999382E-05, 0, 0, 0, 0
1.000005E-05, 1E-07, 0.002000018, 0.002999998, 0.1450033, 0.003002273, 0.3895002, 0.001999967, 0.180029, 0.001999467, 0.07005583, 0.3799991, 0.3508833, 0.09099989, 0.03099924, 0.1899973, 0.5100008, 9.999157E-05, 0, 0, 0, 0
1.000007E-05, 1E-07, 0.002000022, 0.002999997, 0.1450036, 0.003003698, 0.389498, 0.001999971, 0.1800286, 0.001999414, 0.07005569, 0.3799987, 0.3508832, 0.0909997, 0.03099844, 0.1899962, 0.51, 9.998967E-05, 0, 0, 0, 0
1.000008E-05, 1E-07, 0.002000026, 0.002999988, 0.1450038, 0.003005461, 0.3894942, 0.001999976, 0.1800282, 0.001999372, 0.07005553, 0.3799979, 0.350883, 0.09099948, 0.0309973, 0.189995, 0.5099993, 9.998807E-05, 0, 0, 0, 0
1.000009E-05, 1E-07, 0.002000031, 0.002999972, 0.1450039, 0.003007501, 0.3894883, 0.001999983, 0.1800278, 0.001999341, 0.07005534, 0.3799968, 0.3508826, 0.09099922, 0.0309958, 0.1899937, 0.5099988, 9.998673E-05, 0, 0, 0, 0
1.000011E-05, 1E-07, 0.002000037, 0.002999948, 0.1450038, 0.003009744, 0.3894798, 0.001999991, 0.1800272, 0.001999322, 0.07005513, 0.3799953, 0.3508821, 0.0909989, 0.03099392, 0.1899922, 0.5099984, 9.998561E-05, 0, 0, 0, 0
1.000012E-05, 9.999999E-08, 0.002000044, 0.002999918, 0.1450035, 0.003012107, 0.3894682, 0.002000003, 0.1800267, 0.001999317, 0.07005491, 0.3799932, 0.3508814, 0.09099854, 0.03099168, 0.1899908, 0.5099982, 9.998465E-05, 0, 0, 0, 0
1.000013E-05, 9.999999E-08, 0.002000051, 0.002999883, 0.145003, 0.003014507, 0.3894528, 0.002000018, 0.180026, 0.001999324, 0.07005467, 0.3799905, 0.3508805, 0.09099814, 0.03098912, 0.1899893, 0.5099983, 9.998385E-05, 0, 0, 0, 0
