"","Group","StartBio","EndBio","BioES","StartCatch","EndCatch","CatchES"
"1","Outside",1,1,1,0,0,NA
"2","Seabirds",0.0149,0.0163635259512069,1.09822321820181,1e-05,2.19643532049238e-05,2.19643532049238
"3","Whales",0.454,0.456150148822376,1.00473601062197,1e-07,2.00946897931339e-07,2.00946897931339
"4","Seals",0.0250000000000019,0.0102049208908159,0.408196835632604,0.002000000000193,0.00122465340294453,0.612326701413174
"5","JuvRoundfish1",0.130424921846617,0.141332795062011,1.08363335059707,0.00299999999999999,0.00433449620184742,1.44483206728248
"6","AduRoundfish1",1.39,1.40879867638686,1.01352422761644,0.14500000000001,0.233105349090879,1.60762309717837
"7","JuvRoundfish2",1.23258692221178,1.24332207379713,1.00870944790335,0.003,0.00403483442266317,1.34494480755439
"8","AduRoundfish2",5.553,5.16573425108104,0.930260084833611,0.389000029926216,0.667923990055631,1.71702811997809
"9","JuvFlatfish1",0.0698805153865218,0.0703091045629199,1.00613317137155,0.002,0.00301839564217932,1.50919782108966
"10","AduFlatfish1",5.766,5.29908264757784,0.91902231140788,0.18,0.284895521160467,1.58275289533593
"11","JuvFlatfish2",0.0962858757346579,0.0970874060863563,1.00832448524337,0.002,0.00302496804996249,1.51248402498124
"12","AduFlatfish2",0.739,0.541265052934636,0.732429029681511,0.0700000004872349,0.0952151616225352,1.36021658513986
"13","OtherGroundfish",7.4,6.99152511107189,0.94480069068539,0.380000000000119,0.623567592451257,1.64096734855542
"14","Foragefish1",5.1,5.2054945660246,1.02068520902443,0.351,0.359281335286591,1.02359354782505
"15","Foragefish2",4.7,4.83006479293949,1.02767336019989,0.091,0.0945459887408619,1.03896690924024
"16","OtherForagefish",5.1,5.2568081851191,1.03074670296453,0.031,0.0329839167074442,1.06399731314336
"17","Megabenthos",19.7653839113683,19.9120661324195,1.00742116731499,0.19,0.19141002918914,1.00742120625863
"18","Shellfish",7,7.0473098163835,1.00675854519764,0.51,0.513446663559695,1.00675816384254
"19","Macrobenthos",17.4,17.3951073408295,0.999718812691353,1e-04,9.99718827281199e-05,0.999718827281198
"20","Zooplankton",23,22.9842252936603,0.999314143202623,0,0,NA
"21","Phytoplankton",10,10.0052429952014,1.00052429952014,0,0,NA
"22","Detritus",3636.66731670927,3636.52543475223,0.999960985719979,0,0,NA
"23","Discards",1.2182202,1.41257458765037,1.15953961989004,0,0,NA
"24","Trawlers",0,0,NA,0,0,NA
"25","Midwater",0,0,NA,0,0,NA
"26","Dredgers",0,0,NA,0,0,NA
